case_id,depth_file,velocity_file,h_peak_ext,h_peak_int,dur_h010cm_min,dur_h020cm_min,dur_h030cm_min,dur_h040cm_min,dur_h050cm_min,dur_h060cm_min,dur_h070cm_min,dur_h080cm_min,dur_h090cm_min,dur_h100cm_min,dur_h110cm_min,dur_h120cm_min,dur_h130cm_min,dur_h140cm_min,dur_h150cm_min
40,depth_040.csv,velocity_040.csv,0.579,0.5879,78.0,60.0,45.0,32.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,depth_041.csv,velocity_041.csv,0.87,0.9078,317.0,253.0,211.0,178.0,151.0,124.0,98.0,68.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
42,depth_042.csv,velocity_042.csv,0.5688,0.5716,156.0,117.0,90.0,66.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,depth_043.csv,velocity_043.csv,0.4577,0.4385,47.0,32.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,depth_044.csv,velocity_044.csv,0.3984,0.4099,419.0,290.0,189.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,depth_045.csv,velocity_045.csv,0.1645,0.1671,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,depth_046.csv,velocity_046.csv,0.2909,0.3177,374.0,219.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,depth_047.csv,velocity_047.csv,0.354,0.3734,824.0,496.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,depth_048.csv,velocity_048.csv,1.105,1.1343,1806.0,1417.0,1176.0,996.0,849.0,723.0,609.0,501.0,396.0,286.0,156.0,0.0,0.0,0.0,0.0
49,depth_049.csv,velocity_049.csv,0.647,0.6636,72.0,55.0,42.0,31.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,depth_050.csv,velocity_050.csv,0.1325,0.1334,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,depth_051.csv,velocity_051.csv,0.638,0.645,6822.0,4809.0,3543.0,2562.0,1704.0,805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,depth_052.csv,velocity_052.csv,0.375,0.3766,1766.0,1084.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,depth_053.csv,velocity_053.csv,0.3008,0.3146,76.0,45.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,depth_054.csv,velocity_054.csv,0.7909,0.8006,914.0,689.0,546.0,436.0,342.0,255.0,163.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
