replicate_id,u_membrane:1,h_star_1_membrane:1,peak_h_in_m,peak_h_basement_m,peak_h_sump_m,peak_h_ext_m,total_volume_in_m3
238,0.017836783976987736,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
239,0.10914399676573494,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
240,0.8294286148827363,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
241,0.7968170883251617,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
242,0.2326407419664337,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
243,0.5307695905990535,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
244,0.6060158207000109,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
245,0.8677389537760112,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
246,0.6031071573387257,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
247,0.4125715692736803,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
248,0.3741840434071827,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
249,0.4258820863735099,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
250,0.6519310255799742,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
251,0.8674906317523249,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
252,0.45389688207629975,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
253,0.24783956295135812,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
254,0.23666236299758114,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
255,0.7460142802434464,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
256,0.8165687634239104,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
257,0.10527807985412496,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
258,0.06655885695517816,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
259,0.5944336637564518,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
260,0.14617324419269828,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
261,0.8246641904563413,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
262,0.31033467392407443,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
263,0.14387193297114265,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
264,0.9209704724874502,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
265,0.16553172273527816,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
266,0.28472008233793555,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
267,0.15361339519205863,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
268,0.11549006366535497,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
269,0.021148016336440034,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
270,0.05539540916426011,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
271,0.1746414709358527,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
272,0.05338193262717539,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
273,0.5911438161109712,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
274,0.6807145267995064,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
275,0.39363045683202824,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
276,0.3179910969520494,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
277,0.5045262370222301,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
278,0.8750049422346086,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
279,0.851131626822206,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
280,0.04347506201279194,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
281,0.18149840959652408,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
282,0.23674487110439602,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
283,0.24938757583221183,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
284,0.5712326517427727,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
285,0.4162624257031923,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
286,0.04925411992759399,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
287,0.3736141384595716,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
288,0.5237529487176372,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
289,0.10167190290371597,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
290,0.8334585537885597,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
