time,F_hydro_N,F_drag_N,F_total_N,M_overturn_Nm,H_net_m,H_wet_m,v_m_per_s,lever_hydro_m,lever_drag_m
9900.0,0.0,11023.462499999998,11023.462499999998,4354.2676875,0.0,0.79,1.525,0.0,0.395
9960.0,0.0,11123.956800000002,11123.956800000002,4405.086892800001,0.0,0.792,1.53,0.0,0.396
10020.0,0.0,11225.0559,11225.0559,4456.3471923,0.0,0.794,1.535,0.0,0.397
10080.0,0.0,11326.7616,11326.7616,4508.0511168,0.0,0.796,1.54,0.0,0.398
10140.0,0.0,11429.075700000001,11429.075700000001,4560.2012043,0.0,0.798,1.545,0.0,0.399
10200.0,0.0,11532.0,11532.0,4612.8,0.0,0.8,1.5499999999999998,0.0,0.4
10260.0,0.0,11606.52,11606.52,4642.608,0.0,0.8,1.555,0.0,0.4
10320.0,0.0,11681.280000000004,11681.280000000004,4672.5120000000015,0.0,0.8,1.56,0.0,0.4
10380.0,0.0,11756.28,11756.28,4702.512000000001,0.0,0.8,1.565,0.0,0.4
10440.0,0.0,11831.52,11831.52,4732.608,0.0,0.8,1.5699999999999998,0.0,0.4
10500.0,0.0,11907.000000000002,11907.000000000002,4762.800000000001,0.0,0.8,1.575,0.0,0.4
10560.0,0.0,11982.720000000005,11982.720000000005,4793.0880000000025,0.0,0.8,1.58,0.0,0.4
10620.0,0.0,12058.680000000002,12058.680000000002,4823.472000000001,0.0,0.8,1.585,0.0,0.4
10680.0,0.0,12134.88,12134.88,4853.952,0.0,0.8,1.5899999999999999,0.0,0.4
10740.0,0.0,12211.320000000002,12211.320000000002,4884.528000000001,0.0,0.8,1.595,0.0,0.4
10800.0,0.0,12288.000000000004,12288.000000000004,4915.200000000002,0.0,0.8,1.6,0.0,0.4
10860.0,0.0,12241.270800000002,12241.270800000002,4847.543236800001,0.0,0.792,1.605,0.0,0.396
10920.0,0.0,12193.238399999998,12193.238399999998,4779.7494528,0.0,0.784,1.6099999999999999,0.0,0.392
10980.0,0.0,12143.895600000002,12143.895600000002,4711.831492800001,0.0,0.776,1.615,0.0,0.388
11040.0,0.0,12093.2352,12093.2352,4643.8023168,0.0,0.768,1.6199999999999999,0.0,0.384
11100.0,0.0,12041.250000000002,12041.250000000002,4575.675000000001,0.0,0.76,1.625,0.0,0.38
11160.0,0.0,12019.815599999998,12019.815599999998,4531.470481199999,0.0,0.754,1.63,0.0,0.377
11220.0,0.0,11997.433799999999,11997.433799999999,4487.040241199999,0.0,0.748,1.635,0.0,0.374
11280.0,0.0,11974.099199999997,11974.099199999997,4442.390803199999,0.0,0.742,1.64,0.0,0.371
11340.0,0.0,11949.806400000001,11949.806400000001,4397.5287552,0.0,0.736,1.645,0.0,0.368
11400.0,0.0,11924.549999999997,11924.549999999997,4352.460749999999,0.0,0.73,1.65,0.0,0.365
11460.0,0.0,11865.4563,11865.4563,4283.4297243,0.0,0.722,1.655,0.0,0.361
11520.0,0.0,11804.990399999999,11804.990399999999,4214.381572799999,0.0,0.714,1.66,0.0,0.357
11580.0,0.0,11743.145100000002,11743.145100000002,4145.3302203,0.0,0.706,1.665,0.0,0.353
11640.0,0.0,11679.913199999999,11679.913199999999,4076.2897067999993,0.0,0.698,1.67,0.0,0.349
11700.0,0.0,11615.287499999997,11615.287499999997,4007.2741874999983,0.0,0.69,1.6749999999999998,0.0,0.345
11760.0,0.0,11549.260799999998,11549.260799999998,3938.297932799999,0.0,0.6819999999999999,1.68,0.0,0.34099999999999997
11820.0,0.0,11481.8259,11481.8259,3869.3753282999996,0.0,0.6739999999999999,1.685,0.0,0.33699999999999997
11880.0,0.0,11412.9756,11412.9756,3800.5208748,0.0,0.666,1.69,0.0,0.333
11940.0,0.0,11342.702699999998,11342.702699999998,3731.7491882999993,0.0,0.658,1.6949999999999998,0.0,0.329
12000.0,0.0,11271.0,11271.0,3663.0750000000003,0.0,0.65,1.7,0.0,0.325
12060.0,0.0,11204.428923000001,11204.428923000001,3596.6216842830004,0.0,0.642,1.7055,0.0,0.321
